x,y,z,x,y,z
1.728928656,-7.663110031,-16.02359442,3.85581255,1.242936134,-2.807657957
-8.998886926,-7.58034933,-13.32313953,5.222382069,2.738478184,-2.977169514
-14.43888661,-7.872908966,-11.76049508,5.257665634,2.82844305,-2.870831728
-21.20788039,-10.41089833,-15.85802977,5.137080193,1.777053833,-2.918114901
-35.14830894,-11.51577447,-21.85713691,5.608573914,2.372242928,-3.776739836
-41.77660714,-5.78558422,-21.0191336,5.953865528,4.200122356,-4.747127533
-32.0163635,2.732080447,-12.84772801,4.573945522,5.799050331,-4.603345394
-17.87212386,11.02479946,-7.988169083,2.800119638,5.374356747,-4.247684479
-4.200758915,17.60204435,-4.787730828,2.343111277,5.004978657,-3.501508951
2.268850356,23.98841127,-4.151465599,3.353009701,4.021616459,-2.233080387
2.117631913,29.51105124,-5.294981554,5.605421543,1.815918207,-1.263557553
0.6958402842,35.27966972,-0.1053822824,6.918554783,0.6389145255,-1.53029418
8.734801689,38.39674258,13.21225105,4.905577183,1.349819899,-1.374905467
23.52985151,37.04645493,25.18777303,0.3391658366,2.402675152,0.7364818454
31.33964147,37.764505,24.62399933,-3.43776989,1.98175776,4.208203316
23.23619005,39.34796545,13.42601188,-4.193058014,-0.6732655168,7.142690659
3.750031163,37.34874627,4.303467594,-2.513137341,-3.154509306,7.578482151
-9.287700945,29.76341506,1.908644587,-0.9645952582,-3.981406927,6.905436516
-15.52599094,21.40842518,6.792317377,-2.35266757,-2.529185295,7.517041206
-29.6027674,14.7004812,5.90938771,-5.482583523,0.1256738603,9.115745544
-65.94135931,6.400269777,-8.321425471,-5.510104179,0.3832872808,6.411290646
-67.56931824,-5.562412594,-14.95670637,-4.127295971,0.9313724637,2.40012455
-38.80392053,-10.12203229,-8.936174157,-4.582733631,2.221302986,1.253445148
-16.79091034,-11.93183364,-6.37677492,-4.95033884,2.289472342,1.021541238
-9.009400721,-12.34649464,-5.151178063,-4.732863426,0.6578723192,0.2158319503
-2.093549904,-11.90596037,-3.495921377,-4.590660572,-0.5458416939,-0.5015931726
4.069928303,-11.99616495,-2.804869496,-4.407816887,-0.5870560408,-0.9879770279
8.992958705,-10.96199376,-1.095385692,-4.046728134,-0.3921517432,-1.630018115
13.26049165,-8.086293358,1.086567741,-3.740390539,-0.8413891196,-1.985069752
14.62080735,-6.374054555,1.900011345,-3.658623695,-1.028315425,-2.09954524
13.66148535,-6.18678134,1.001856344,-3.750349998,-0.5387067199,-2.1487782
11.56333702,-7.561099855,-1.88386159,-3.417274714,0.2034929097,-2.203427792
8.034861277,-9.022748278,-6.95020726,-2.433867216,-0.2153008282,-2.665701628
4.639326273,-9.772793323,-13.58027305,-0.3986730278,-0.7828266621,-3.015970469
0.5308335541,-9.687343237,-16.49706534,2.213114262,-0.01292548329,-2.965423584
-5.635528099,-9.522131632,-13.88152277,3.809405804,0.7245217562,-3.069158792
-14.85179521,-9.438543833,-13.62104111,3.84869504,-1.265930891,-3.289982796
-25.68781047,-9.412358421,-19.81819363,4.025326252,-1.79653132,-3.386256933
-36.28136955,-5.449996759,-20.71510973,3.69871974,1.284232259,-4.307853699
-31.8938407,2.881356232,-15.30108562,3.242948771,4.086635113,-4.780180454
-17.35781474,9.6644896,-9.901424379,2.95901227,4.042822361,-4.091567993
-10.18774424,13.07903501,-8.526184658,3.337636471,2.677944422,-3.958809137
-5.989964637,16.86151123,-7.194404139,3.618012905,2.36452508,-3.583432436
-2.451383683,21.00853972,-3.717541683,3.150859594,2.925174475,-2.893482208
0.2892196775,24.40012979,-1.866521017,2.783935547,3.105559111,-2.116875648
1.243411915,27.33611543,-1.524860958,3.366937876,2.777194738,-1.745293617
4.388867703,30.00872019,0.8674165288,4.126549721,2.31119585,-1.246265173
10.45593925,31.46966719,6.311968978,4.208257198,1.395288348,-0.1130415201
16.50755751,31.17444623,11.9438935,3.647063017,0.1746583581,1.663531065
19.70220812,29.72604775,17.13041117,1.784168124,-0.6342806816,3.64702487
16.99703964,28.82948469,17.70155803,-0.9376063943,-0.2805159688,5.514594078
10.1671153,27.918837,11.66281329,-2.642296076,0.648927927,6.625564098
3.411625722,26.25308522,6.089712713,-2.816720009,1.609411359,6.936914921
-3.859840614,26.39430103,2.320858192,-2.169647455,-1.328812242,8.820707321
-30.18561756,17.11923628,-7.595459805,0.225299716,-3.878307104,10.00908947
-65.98023703,7.784287848,-3.928937239,1.59402287,-0.3387596607,7.706252098
-67.13482676,-3.975320805,8.773642,0.03298106417,1.116698623,3.549587488
-40.24584719,-13.5591648,14.8971167,-3.589739561,2.097156525,1.762680531
-19.57174517,-13.92649939,8.735292688,-5.913444042,3.972633362,0.9050981402
-5.865042372,-12.43218555,1.993919901,-6.420469761,3.727861643,0.3651068211
2.534500942,-12.48441141,-2.748444722,-5.542227268,1.589765549,-0.2685175836
7.479621011,-14.57942554,-4.937065942,-4.146189213,0.06574063748,-1.078256488
10.49639635,-13.17879302,-1.942782419,-3.724498272,0.281731993,-2.130875111
15.72562855,-11.27162201,0.5090530629,-4.162728786,1.86423254,-2.566242933
19.16338883,-9.376555871,0.9744413178,-4.717952728,2.940335989,-2.455772877
17.19908431,-6.386448173,-3.224167214,-4.270867348,1.730181932,-2.417141914
12.77544603,-10.39107135,-12.76696228,-2.186994553,-0.4056016803,-1.755058289
0.3211591225,-7.282022802,-15.62338515,1.107362628,0.9344973564,-1.784559488
-7.42906922,-8.557383514,-13.66412389,3.11524415,2.3966465,-2.422196865
-12.52149465,-8.787529071,-12.89790804,3.760634184,0.4690978825,-2.727787256
-19.26765233,-9.186493318,-19.58802995,4.607245445,-1.663696766,-2.089974403
-35.02915766,-6.526364593,-21.02095964,5.335102558,0.4438235462,-2.908394337
-36.69489307,0.7704343374,-13.18852648,4.800252438,3.25108099,-3.979248285
-23.05290269,5.673998407,-6.151274558,2.86805892,4.091907501,-4.49893856
-9.344020214,11.65182194,-7.861587946,2.753684759,3.422357321,-4.165076256
-0.9618781158,16.36041464,-9.524878885,4.392764568,2.875710487,-3.364138365
4.57059059,19.04714846,-5.246547486,5.461892605,2.227094412,-2.161428928
6.218009422,20.09531078,-1.716469572,5.577972889,1.028956175,-1.232064486
4.280157446,22.78261977,-0.393656788,5.372095585,0.502984643,-1.122319937
3.599156711,26.67041982,3.277515942,4.364833355,1.289435148,-1.773831844
13.0518337,29.25178305,8.692848215,2.114346266,2.516504049,-1.438157439
26.79257321,31.50350166,12.14782617,-0.1753543615,2.334990025,1.004188061
29.92109101,31.6694521,10.54121866,-1.364266992,0.7472621202,4.24744606
18.7390727,32.10414466,8.389724516,-1.926560521,-0.1606977135,6.190480709
9.817907892,31.95533006,7.107866843,-2.269342184,-0.3339213431,7.09249115
2.361172666,30.75338705,7.203754151,-2.738813877,-1.001843095,7.305157185
-8.415425359,27.8056455,5.830127711,-2.865285873,-2.352023363,7.436942577
-25.04890466,26.3591853,0.1597263785,-3.12706852,-3.42450881,10.29380798
-63.36397785,19.72646811,-4.529425052,-3.855822086,0.3319935799,10.35639763
-68.45706203,5.64186607,-12.00526596,-2.395258904,2.938124895,3.685479164
-58.69486843,-9.730744572,-4.58928477,-2.700495005,2.768128872,-0.1380892098
-17.81828471,-12.08632746,1.973435916,-4.109830856,3.051631689,-0.07048759609
-7.270774847,-11.96652268,0.33057219,-4.424463749,1.62723279,-0.2830275893
-1.440359551,-12.43042146,0.1382224758,-4.414000034,-0.0391940847,-1.052504539
5.84195025,-10.61946627,1.592390772,-5.199056625,0.659786284,-1.319532871
9.144423524,-8.810271649,0.3826379659,-5.644663334,1.273911119,-1.804804087
12.38443713,-8.101331352,-1.502224179,-5.462275505,1.250186801,-2.455417871
15.35247211,-7.961136115,-4.644592231,-4.47931242,0.6433951855,-2.958317041
17.06656618,-8.048290082,-7.243251465,-3.013272285,0.2832936943,-3.290292263
18.92822164,-7.17589993,-8.065221928,-1.798743963,0.8147454262,-3.094033241
19.11887865,-6.030839668,-8.023826672,-1.018008113,1.97188735,-2.612146616
18.09985125,-4.631289097,-9.980035559,0.3318170309,2.348773241,-2.05886054
16.0121226,-4.232356414,-11.47368188,2.063590288,2.056233406,-1.389565825
