accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeY
0.8662018,8.4705925,5.0775695,0.008475749,0.014508039,-0.009544762
0.72502524,8.427522,5.005785,-0.014737112,0.009010255,0.0032833982
0.78723866,8.437093,4.9986067,-0.030008731,-0.006872229,1.00E-02
0.86859465,8.520842,5.211568,-0.009850195,0.013286309,-0.016264275
0.74416786,8.425129,5.089534,-0.036728244,0.034666575,-0.0064904382
0.63888365,8.441878,5.285745,-0.0049632764,-1.53E-04,-0.014431681
0.7968099,8.391629,4.8215375,-0.028176138,-0.035582874,0.016111558
0.6771688,8.30788,4.922036,-0.12835796,0.030390523,-0.024205517
0.8111669,8.4682,5.3814583,-0.10881029,1.51E-02,-0.0028252497
0.78723866,8.472985,5.393422,-0.06360629,0.03527744,-0.00160352
0.6939186,8.394022,5.352744,0.007864884,0.025503604,-0.016264275
0.7968099,8.255239,5.113462,-0.013515383,0.035888307,-0.03092503
0.7106683,8.281559,5.103891,-0.03733911,0.055435978,-0.032757625
0.59581286,8.353344,5.2283173,-0.11614066,0.021838415,-0.040088
0.64606214,8.520842,5.977271,0.013973532,0.017562363,-0.0040469794
0.66999036,8.652447,5.989235,0.17157665,0.0029016077,0.023441937
0.4354937,8.961121,5.76431,0.31879506,0.07131846,0.035048366
0.40438703,9.556933,5.3814583,0.40187266,-0.0129808765,0.049709123
0.89491564,9.8727865,6.0514483,0.57169306,0.0059559317,0.042378742
0.29910284,10.255638,5.1732826,0.9889137,0.20631959,8.40E-04
0.2416751,10.195817,4.9172506,1.3969713,0.19776747,0.019165883
2.024328,9.846465,3.4600215,1.4910445,0.28084508,-0.09995275
-0.43070808,9.425328,2.5866413,1.6706388,0.31077746,-4.51E-01
0.3900301,9.3104725,1.7850457,1.3542109,0.22281294,-0.3351357
-0.11724831,9.399008,2.199004,1.0383937,0.07925971,-0.1146135
0.48095736,9.257831,0.8925229,1.1801144,0.13729186,-0.07979421
-0.03589234,9.049655,0.6029913,1.1037563,0.14095704,-0.05902481
0.2536392,8.927621,-0.9020941,1.0787108,0.17577635,0.04421134
0.485743,9.035298,-1.375873,0.79588044,0.15806127,-0.023594651
-0.083748795,9.056833,-1.4883357,0.7720567,0.12140937,-0.065744326
0.19142582,9.107083,-2.2899313,0.712192,0.03649917,0.0045051277
0.4139583,9.123833,-2.5124638,0.5136609,0.16478078,-0.046807513
0.21535404,9.162118,-2.6871397,0.5167152,0.018173227,-0.13599378
0.14117654,9.267402,-2.914458,0.47028953,0.19165882,-0.17631085
-0.49292147,9.049655,-3.0532417,0.38782278,0.22892158,-0.17325652
-0.37328035,8.851051,-2.8594232,0.52404565,0.054825112,-0.06879865
-0.68195444,8.5112705,-3.8524444,0.40065095,-0.00320704,-0.082848534
-0.29910284,8.422736,-3.8500516,0.30108,0.13179408,0.041157015
-0.12921242,8.585447,-3.9098723,0.25709772,0.2093739,0.027717989
-0.5479564,8.755338,-3.9361932,0.53931725,-0.09422589,0.11140647
0.1698904,8.860622,-4.8095737,0.25098908,0.15806127,0.027107125
-0.18424734,8.71466,-4.6085763,0.22166756,0.14217877,-0.015653409
-0.3182454,8.82473,-4.900501,0.19967642,0.1904371,2.29E-04
-0.15074782,8.906086,-4.7425747,0.06406444,0.084757484,0.035048366
0.10767702,9.090333,-4.398008,0.059177525,0.004734202,0.033826638
0.26799613,9.073584,-4.074977,0.15691589,0.046883874,2.83E-02
-0.009571291,9.090333,-3.7950168,0.42142034,-0.0056504994,-0.0022143847
0.14356937,8.7673025,-4.165904,0.6449968,-0.1424842,0.07903063
0.36610186,8.360522,-5.407779,0.55703235,0.018784093,-0.12438734
0.20578274,8.185846,-5.194818,0.5154935,0.07987057,-0.19402592
-0.36370903,7.8053875,-5.663811,0.69692034,-0.23228133,-0.0816268
0.038285162,7.568498,-6.017949,0.6431643,-0.12476913,-0.0040469794
-0.0741775,7.6307116,-6.3218374,0.58635384,0.07315106,-0.041920595
-0.9595219,7.645068,-5.733203,0.56497353,0.012064579,0.0063377223
0.11724831,7.649854,-5.7547383,0.9070578,-0.116217025,0.069867656
-0.02871387,6.9990063,-6.7094746,1.1410191,0.05299252,-0.020540329
0.040677983,6.1998034,-7.7407813,1.082376,0.11530073,-0.10911572
