x,y,z,x,y,z
0.831906751,-1.587003234,0.3206521959,1.072368979,0.407679081,-2.567885876
1.274994802,-2.226832585,-0.6937601169,1.222922325,0.6718900204,-2.790346622
1.543428004,-2.898932805,-0.7668962264,1.427687168,1.103782535,-3.053093433
1.699219746,-3.039344315,-0.7667644167,1.617694497,1.378474236,-3.31295681
1.85538646,-2.894780946,-0.5702518107,1.555234432,1.340578794,-3.524672508
1.70352475,-2.278378063,0.08953881663,1.266848326,1.00986135,-3.615746021
1.673300877,-1.255500412,1.476698693,0.9541198611,0.663880825,-3.553104639
1.367093532,-0.3007791823,2.215954925,0.7537840605,0.4531736076,-3.418456078
1.040509462,-0.3439870404,1.708950428,0.5551983118,-0.01207249332,-3.242657185
1.033118767,-0.9534516482,1.084149574,0.4395183325,-0.2887434959,-2.975979567
1.284021135,-0.8079208952,0.7931810067,0.4135284424,-0.2999819815,-2.621903896
1.486301803,0.2072077492,0.5593899326,0.4304283261,-0.2562533915,-2.189969778
1.643288893,1.418062379,0.4888569914,0.4731970727,-0.1983706653,-1.639126062
1.565250398,2.841830277,0.6996566276,0.4449073672,-0.4136483371,-1.018051386
1.094243244,4.626076331,1.565574369,0.2670192719,-0.6499438882,-0.501586318
0.8015477069,5.776932712,2.598905318,0.1261069179,-0.6070331335,-0.2820459306
1.759954932,4.69743827,1.986189891,0.1522004604,-0.534468472,-0.2544592917
2.390336948,3.047434682,0.9748460261,0.156607464,-0.563675344,-0.2345606834
2.577997554,1.098465099,1.080745903,0.001736815553,-0.6010007858,-0.3483104706
3.032082215,-1.250737143,1.647098222,-0.102104634,-0.6097237468,-0.3906888068
3.979364819,-1.998660958,1.242181204,-0.059142299,-0.6783138514,-0.3278298378
4.676834458,-1.702300761,0.69548168,-0.04588375241,-0.7862613797,-0.2130614519
4.981169287,-1.088819904,0.6564087298,-0.08590163291,-0.7941434383,-0.1209768429
4.955824418,-0.02824935841,0.7635729272,-0.1004595384,-0.5760529637,-0.07302822918
4.757026478,1.130887944,0.2993170008,-0.1295135766,-0.1752886623,-0.1581864953
4.384018218,2.37605284,-0.04421002087,-0.1854407638,0.4138862193,-0.2921022475
