Accel x,Accel y,Accel z,Gyro x, Gyro y,Gyro z
0.219477887,-0.68631287,0.19336101,0.321975172,0.796589434,0.785205185
0.139193367,-0.118581079,0.164790165,-0.020988081,0.962287128,0.874367416
0.042278103,-0.43866322,-0.578731031,-0.31493476,0.841544449,0.857657373
-0.014270956,-0.497617221,-1.271080259,-0.544468284,0.51905781,0.753136933
0.05112623,0.521543748,-1.526093715,-0.638381183,-0.009284071,0.61571914
0.189305305,1.229250703,-2.144780325,-0.534107804,-0.465160847,0.4586218
0.011950842,1.567811042,-2.600679342,-0.26389873,-0.547700226,0.326599836
-0.195204738,1.607869496,-2.649635972,0.111824274,-0.282329619,0.268563747
-0.141436908,1.29406892,-2.502865448,0.471266061,0.144983619,0.25314486
-0.040230304,1.043369235,-1.946245127,0.703790069,0.601388037,0.236217901
-0.022163024,0.973639281,-1.016224038,0.797783434,0.936758578,0.221359596
0.03833806,0.978186276,-0.329526553,0.792804956,1.137519002,0.198550448
0.139493811,0.989293946,0.035022214,0.705465257,1.170764089,0.153760865
0.212819452,0.981098657,0.246230431,0.556908488,1.035510421,0.095832221
0.392839334,0.961223743,0.31070261,0.354866683,0.786508679,0.178384364
1.762008211,0.870806683,0.353985287,0.193834946,0.553623319,0.229110867
1.409430891,0.76776541,-0.102276718,-0.0174275,0.126736403,0.210146502
0.851668121,0.518290299,0.024954409,-0.143588275,-0.209762245,0.178295612
0.904588395,0.281328924,-0.033809915,-0.241603792,-0.429805934,0.224576548
1.079568676,0.312463775,0.142021868,-0.282292724,-0.524814427,0.360601634
1.405650642,0.278774856,0.116032271,-0.338031083,-0.629174352,0.358320385
0.167933577,0.643199996,0.511047488,-0.424572676,-0.851786613,0.256868154
-0.110788818,0.559056901,0.82809333,-0.46923548,-0.947537661,0.284880877
0.729650199,0.212430452,0.93058749,-0.470208883,-0.869796038,0.26396051
-0.403637499,0.153681326,0.884645823,-0.524729609,-0.815551698,0.152351424
-1.23652011,0.049699558,0.76996672,-0.546032429,-0.825841308,-0.035286017
-1.198667349,0.040451837,0.616669425,-0.498907804,-0.912312567,-0.222563237
-0.989551136,-0.024779052,0.731743664,-0.426090956,-1.014023304,-0.36245054
-0.604096651,-0.12526421,0.626512773,-0.39985323,-1.134192824,-0.412691593
0.050698652,0.122196639,0.634421939,-0.433710694,-1.259979129,-0.418305188
0.441407112,0.333028424,0.701856476,-0.481583148,-1.389610171,-0.416567743
0.558952856,0.353996686,0.795833567,-0.532548487,-1.468268514,-0.408917069
0.468649777,0.230596224,1.003301429,-0.574280202,-1.409065127,-0.362204432
0.435291405,-0.147588855,0.979932243,-0.588231683,-1.241524816,-0.241990164
0.563012507,-0.472993944,0.704649906,-0.519684315,-1.110367894,-0.079082474
0.432529686,-0.479266448,0.535866872,-0.384004146,-1.051336288,0.034688275
0.088666125,-0.3734335,0.695477588,-0.296265215,-0.939972162,0.055514727
-0.139770874,-0.208165781,1.212104338,-0.29138115,-0.699350953,0.019745875
-0.274853298,-0.320882936,1.384879072,-0.331191391,-0.382003158,0.00700478
-0.085419837,-0.677280253,0.943242389,-0.320258498,-0.099555738,0.022443898
0.034008506,-0.813735427,0.252871184,-0.191813692,0.014502658,0.031136721
-0.028266456,-0.46935208,-0.067180854,-0.048303749,0.131791353,0.018476427
0.094302378,0.114547586,0.070013447,0.100282528,0.29723838,-0.086757056
-0.267864755,-0.138989953,0.021067922,0.2411277,0.421339333,-0.189418375
-0.475056722,-0.352857745,0.254413737,0.374776065,0.569618046,-0.236913189
-0.371013141,-0.412374348,0.407438645,0.504698694,0.728126228,-0.236216918
-0.196332719,-0.529960863,0.24593817,0.625348151,0.793319106,-0.215381682
0.039436231,-0.584272883,-0.061095981,0.730778754,0.672873974,-0.210172683
0.203122818,-0.431377739,-0.322039997,0.839331806,0.412747025,-0.242717847
0.286225902,-0.200074244,-0.417874699,0.919540226,0.13769798,-0.297279149
0.245487065,-0.117153969,-0.278959565,0.950888038,-0.084932163,-0.349311471
0.119456693,-0.229608966,-0.080831779,0.942453384,-0.328047782,-0.338157415
0.166172121,-0.075419106,0.263391993,0.884139776,-0.404742271,-0.366415948
-0.094333942,-0.465180932,0.191989722,0.826543868,-0.48940739,-0.413323581
-0.531330836,-0.899052826,0.099544078,0.733088255,-0.375759929,-0.436688006
-0.261179432,-0.856833102,0.188430568,0.617626607,-0.260965705,-0.415028244
-0.179763716,-0.792989284,0.043304889,0.517975926,-0.303324342,-0.364006341
-0.14196137,-0.795604727,-0.025031565,0.404084682,-0.382193625,-0.306389183
0.107116559,-0.784023887,-0.081097151,0.284665078,-0.436760724,-0.265312582
0.061329644,-0.929121217,-0.222129424,0.121825598,-0.62270695,-0.17023392
-0.192689541,-0.99327717,-0.157781747,-0.053427439,-0.633128703,-0.121969722
-0.339523339,-0.893999635,-0.001337971,-0.226938963,-0.386327147,-0.11391782
-0.506011101,-1.059756306,-0.232870598,-0.373941749,-0.021642912,-0.104211129
-0.724767834,-1.184456453,-0.522340451,-0.445514351,0.450989068,-0.120690525
-0.641469665,-0.911432123,-0.811416921,-0.460785985,0.747072399,-0.115693636
-0.510433302,-0.38744975,-1.220372985,-0.420689255,0.777518213,-0.114642195
-0.250484581,0.297773863,-1.550857569,-0.299148709,0.637631714,-0.157679945
-0.058063482,0.737962393,-2.26877203,-0.045201015,0.370624363,-0.242412344
-0.077868983,1.03691056,-2.850101262,0.294301689,0.083753161,-0.311197013
0.018735826,1.346368431,-2.825256159,0.608910382,-0.073776156,-0.324645221
0.09308175,1.28915426,-2.238302073,0.810660541,-0.048089966,-0.297316402
-0.029253275,0.964937503,-1.282193189,0.913315594,0.100512207,-0.254814386
-0.251486305,0.784737004,-0.320175957,0.913553178,0.297905952,-0.197034702
-0.480905009,0.736245068,0.48123278,0.805720925,0.445896357,-0.185122743
