acceleration x,acceleration y,acceleration z,gyro x,gyro y,gyro z
2.794604415,2.256945691,2.188928094,-0.7685160041,1.926306129,-3.49028945
2.985377747,2.288045763,2.317144139,-0.9328868985,1.419335485,-3.534062624
4.427192173,2.377881517,1.850292936,-1.100613832,1.093019724,-3.669927835
6.005345746,2.619577519,1.178203237,-1.279867291,1.028553605,-3.892783403
7.808100101,2.712177476,0.8029846079,-1.512298107,1.325110435,-4.011479378
9.008627398,1.516024741,0.6069184304,-1.683064461,1.814726114,-3.930031061
9.249104965,0.6247299814,-0.1711743128,-1.756966591,2.154742241,-3.762570143
9.165995304,0.3226385475,0.1162158112,-1.82143271,2.412290096,-3.514003992
8.560621181,0.02940495818,0.2485638419,-1.809242368,2.60057044,-3.241398335
8.159429905,-0.2406044074,0.5026227742,-1.678585649,2.689168453,-2.991052151
8.22902542,-0.6888087781,0.7915969524,-1.44343996,2.840570927,-2.858150721
8.710376858,-0.8729805196,0.8839216004,-1.125720739,3.163664818,-2.861480951
9.153122963,-0.5968868657,0.6712041478,-0.7647222877,3.41580534,-2.891041279
9.734295542,-0.4383008164,0.1726835483,-0.5143123269,3.134425879,-2.713628054
10.4268324,0.3914209918,0.2918430117,-0.4378377795,2.613414526,-2.363611698
10.76676344,1.62166129,0.6954685283,-0.5278114676,2.159474611,-1.966403961
11.16493742,1.77600488,1.354177352,-0.7132106423,1.91598928,-1.596455097
11.0615881,0.6067115097,1.695491081,-1.020305514,1.862734795,-1.26663363
10.29037927,-1.001051604,1.702378503,-1.326360703,2.013509274,-0.9309741259
9.483459664,-1.986771198,1.201849194,-1.464081168,2.20886302,-0.7167357206
8.550510121,-2.754660527,0.530470566,-1.421115398,2.307888508,-0.5235697031
7.582101142,-3.410214686,-0.2672162277,-1.304223776,2.239914179,-0.288985014
6.517954492,-3.833745803,-0.6273463014,-1.287400365,2.102851868,-0.1193227544
6.082886666,-2.71742999,-0.01500613821,-1.498360515,2.199020863,0.04737427458
5.431133069,-3.13447876,-0.4092261131,-1.90157032,1.973085403,0.3032406569
5.231912811,-3.423356492,-0.6823582868,-2.252796173,1.613086343,0.6345399022
4.811072833,-3.893383403,-0.9400795409,-2.582805634,1.269652843,1.145495534
4.3718625,-4.109498681,-1.499037366,-2.851403236,0.9630958438,1.674521208
3.475199492,-3.93016795,-1.962576522,-3.017344952,0.753929019,2.028866291
1.915745944,-3.863132641,-2.397286621,-3.116877556,0.6214043498,2.066662073
0.7940385003,-2.886989269,-2.869150245,-3.144439459,0.4906513691,1.871358156
-0.5258160182,-2.333320198,-3.812317816,-2.928053617,0.5645721555,1.49721086
-3.075091336,-0.4253063102,-6.266479147,-1.74187839,1.313920379,0.690061152
-5.109266675,-0.2985696896,-11.47252686,-0.3459806144,1.662340164,-0.2236403674
-3.787085175,-2.441573068,-10.51994089,-0.1464211643,1.310010314,-0.4612324238
-2.394343699,-2.371378418,-7.056641682,-0.4875136018,0.6518958807,-0.2090378404
-2.126043475,-0.8488070324,-4.522167628,-0.5557669401,-0.08963392675,0.06529543549
-1.656222901,0.2812310168,-3.072498981,-0.5206233859,-0.6600517631,0.08966857195
-1.007058735,1.486075593,-1.536022988,-0.6227234006,-0.8646738529,-0.01731114462
-0.5042769711,1.830702685,-0.2034042287,-0.7999361753,-0.9074668884,-0.2250871658
0.06189736099,1.492939049,0.4179962795,-0.9430318475,-0.9789298773,-0.4804014862
0.5072165317,1.545240899,0.7236170566,-1.006573796,-1.01685369,-0.7054471374
1.288163495,1.711284278,0.7332569916,-1.003252864,-1.038787484,-0.7890384197
2.435927171,1.693593723,0.8970984773,-0.9442282915,-1.109298468,-0.7510002255
3.180297677,1.509904212,1.075570546,-0.8710829616,-1.220758915,-0.6677442193
3.708024497,0.9962468338,1.051796872,-0.8155399561,-1.291146755,-0.5515233278
4.375758923,0.3126286101,0.6734732618,-0.7445424795,-1.152623773,-0.4035122991
5.909981,-0.4565577731,0.2545821158,-0.5021167397,-0.8739309907,-0.1531879902
6.891416049,-0.7244371409,-0.4541541825,-0.2666383982,-0.6003995538,-0.2212538719
5.766996424,-0.6249304724,-0.3112678431,-0.2501567006,-0.2316570431,-0.4672972262
5.183526089,-1.193911094,0.6306406668,-0.1157661527,0.3591915965,-0.4814412892
5.724756534,-1.351093122,-0.2028132954,0.144040823,0.5843322873,-0.5327162147
5.769807974,-1.379569859,-0.2128285117,0.3951169848,0.6575923562,-0.564325273
5.4706637,-1.520796778,-0.2525952346,0.5935426354,0.6348789334,-0.4649330974
5.602491506,-1.575995518,-0.4149965132,0.7168549895,0.4822390378,-0.3776682317
5.195609326,-1.004061307,-0.2960831335,0.8034363389,0.3886089325,-0.3091107607
4.870016605,-1.130415066,0.1438759715,0.8900777102,0.4008853137,-0.1243837923
5.082406725,-1.114953877,0.3643751274,1.078972578,0.4061106443,0.1062467471
5.428465895,-0.9882727862,0.3023380657,1.200677752,0.4489009976,0.3272768557
4.735743743,-1.387747321,0.7279956371,1.206996679,0.591160059,0.4926481545
3.994956941,-1.44994045,0.7358189511,1.131731987,0.8499037027,0.5553248525
3.268586201,-1.782862491,-0.1065899777,1.083969593,1.179524899,0.5768297911
2.720938875,-2.18118201,-0.9415268171,1.036034107,1.461360335,0.6603726149
2.053141321,-2.365931259,-2.096546747,0.9631056786,1.638508081,0.8348526359
1.236348552,-2.9979853,-3.854273628,0.972656846,1.574377537,1.147517085
0.3928431335,-2.529161919,-5.490433984,0.9953778982,0.9548145533,1.53462708
-0.8102484614,-1.965983846,-6.732184103,0.8800004721,0.06631906331,1.881337643
-1.103668513,-1.616647846,-6.079395317,0.5529471636,-0.73283571,2.267627716
0.9107786276,-1.011855322,-5.529134593,0.3002049029,-1.469349504,3.02262044
1.940202924,0.4557505483,-4.706453936,0.1208282188,-2.379858255,3.891819477
2.992314268,2.191700481,-3.172098004,-0.112407431,-2.914041281,4.530439854
3.571337561,3.144428491,-2.477043609,-0.6032249331,-3.070888519,5.084028721
2.907988218,3.174432,-2.414152415,-1.095196486,-3.239815235,5.331839085
3.872532338,2.101444456,-1.920471657,-1.51034534,-3.498561144,5.612247944
3.744529058,1.476136383,-0.2722100905,-1.828116179,-3.552349567,5.73994112
4.187102145,0.1494809519,1.4470307,-2.033931494,-3.33510375,5.670633316
3.729569974,0.9326917688,3.514761979,-2.262342691,-2.806576729,5.266590595
