Acceleration x,Acceleration y,Acceleration z,Gyro x,Gyro y,Gyro z
0.1931400609,-0.2953925209,-0.5094225173,0.1195675507,-0.5572716594,0.8203755617
1.760374765,0.04214081338,-1.282323537,0.1997392327,-0.3354242146,1.106485724
1.810246757,0.4705990118,-2.611335176,0.4422701299,-0.1882808357,1.263446331
0.2026145762,0.2825974828,-3.033256812,0.6371703148,-0.03454885632,1.319643378
-0.2393108604,-0.01533390886,-2.794178591,0.7979248762,0.2432782352,1.455913663
0.5439087243,0.2597210496,-3.593772972,1.114754319,0.5160288811,1.772929549
1.539353594,1.015468836,-5.304900891,1.623375654,0.7050720453,2.2100842
1.622406556,1.794261544,-6.596907617,2.240395308,0.7788388133,2.596530914
0.1216343291,2.188173476,-6.850352217,2.799152136,0.6693011522,2.634611845
-2.262719891,1.770072567,-5.810556749,3.186549187,0.1901164204,2.410147429
-2.326121811,0.5380002309,-3.07645561,3.216467857,-0.5013501644,2.308396339
-1.087835569,0.1199235796,-0.4737713582,3.023870468,-0.9674899578,2.278017044
-1.150211653,0.3639658525,-0.1419493873,2.891663074,-1.323120713,2.196277142
-1.727210162,0.8762969507,-1.059745785,2.871399403,-1.588832378,2.11037755
-1.644672164,1.499144041,-1.343348791,2.798737526,-1.645159841,2.121238232
-0.977212463,2.098450535,-1.108080484,2.681680679,-1.519166708,2.167853355
-1.10143564,2.236501161,-1.193555705,2.679548264,-1.583227992,2.144886494
-1.234475744,2.079876621,-1.689817127,2.80411911,-1.754410982,2.101523399
-1.45521576,2.476548812,-1.783251198,2.930021524,-2.03847146,1.8959198
-7.384075063,6.557901887,-1.967842626,2.944817066,-2.656169891,1.334094286
-1.501400588,2.138321796,-0.9670675011,2.99584341,-2.240079165,1.080431223
-3.238240747,-1.03271647,1.483643397,2.762086391,-2.375790596,0.8713566661
0.2879407436,0.03903787892,2.262601233,2.329863787,-2.489278316,1.252117276
2.104837606,0.0814649619,1.924592098,1.989187002,-1.743619919,1.121963501
-3.581256313,0.1286772333,2.222406585,1.377380252,-0.9997273684,0.6524093151
-4.216252252,0.8098591698,2.632320388,0.8184049129,-0.8095168471,0.2842685878
-2.193876072,0.2613923438,2.609746153,0.266084224,-1.020600319,0.04334705323
-1.455885037,-1.031450541,5.514366648,-0.6520853043,-0.9352274537,-0.2615786493
-2.016829652,-1.031651325,9.474528169,-1.569790959,-0.6215856671,-0.5292266011
-1.135421496,-0.9615380701,6.618954029,-1.750620604,-0.5020920634,-0.7328364253
-2.174062533,-0.4167869037,3.627940322,-1.631307364,-0.2956909537,-1.027538657
-3.874433203,0.3542755025,2.683382175,-1.364251375,-0.2934833169,-1.498130441
-4.63529541,0.4775558452,0.507806022,-1.048663616,-0.3409672379,-2.137279272
-4.569723745,1.061421317,0.8694918007,-0.8513071537,-0.5195041299,-2.710024118
-3.932195656,1.765004324,0.8357976209,-0.6729294062,-0.6829247475,-3.085826159
-3.15687004,2.129408276,-0.1154790213,-0.368406266,-1.13833189,-3.089189053
-1.872604721,2.675755333,-2.044163941,0.2866916955,-0.883880496,-2.910225153
-0.06854571296,2.798262353,-3.561757539,1.213318944,-0.4733536243,-2.325389862
1.249312079,1.117271141,-4.786599778,1.77020216,-0.2418492734,-1.7979877
2.598271696,0.3874264788,-4.124947887,1.873370409,-0.0602988489,-1.713783741
