x_accelerometer,y_accelerometer,z_accelerometer,x_gyro,y_gyro,z_gyro
0.593653181,0.08711367184,-0.3608592648,0.02560065128,0.01508152857,-0.06781761348
0.6734229929,0.1353780461,-0.2499310386,0.04680855945,-0.07245674729,-0.001878195442
0.6362228508,0.2186824253,-0.240354232,0.07637017965,-0.1486732215,0.05393633246
0.4883997126,0.2772498382,-0.2479682141,0.1013585106,-0.207342878,0.09898819774
0.348478872,0.3047794675,-0.1979419082,0.1064635217,-0.2579938173,0.1204644591
0.1593615821,0.3394409945,-0.09593407062,0.09575128555,-0.2662080824,0.1240396276
-0.06059809669,0.3000410408,0.08044657863,0.06801392883,-0.238619864,0.1007814407
-0.2908023618,0.1853666504,0.2271335159,0.03025744297,-0.2070791125,0.07133950293
-0.3654159782,0.08924429066,0.2403805355,0.000666259788,-0.1448546201,0.05654537305
-0.2708929252,0.01849759706,0.2659305718,-0.02306246012,-0.09138100594,0.062580809
-0.2123699908,-0.003959368618,0.2460983286,-0.03842703626,-0.06223031133,0.08049616218
-0.1581862729,0.04198361352,0.1917763713,-0.04990326241,-0.04530613497,0.09579149634
-0.1827129758,0.1070582528,0.2174082407,-0.05729672685,-0.03279646859,0.1098468602
-0.2302994326,0.1519525296,0.2941553803,-0.07025927305,-0.04037148878,0.1171284914
-0.3428300524,0.1872474226,0.2774953374,-0.09098266065,-0.05772517994,0.1097459346
-0.5713870983,0.1444911808,0.2700941212,-0.1299700737,-0.06956968457,0.1005192772
-0.7687607782,0.1420513133,0.3517693649,-0.1826870888,-0.08150225133,0.1053321436
-0.9954786259,0.2777535499,0.44574178,-0.2223929614,-0.1090615541,0.1260332018
-1.276821579,0.3965410747,0.4658335509,-0.2712513208,-0.1614398062,0.1473797709
-1.642667692,0.580054535,0.6376748032,-0.3423972726,-0.2975776196,0.2029629052
-1.824035774,0.8489939332,0.8179062827,-0.4638355672,-0.6120218635,0.3141791821
-1.868941668,0.9502950839,0.9300871392,-0.6955820918,-1.246212602,0.4770951271
-2.019501648,1.584514194,0.3652203826,-0.9194535613,-2.07294631,0.7646922469
