lsm6dsr_accelerometer.x,lsm6dsr_accelerometer.y,lsm6dsr_accelerometer.z,lsm6dsr_gyroscope.x,lsm6dsr_gyroscope.y,lsm6dsr_gyroscope.z
2.2181466,-23.860031,-0.99900347,-1.6825788,0.5317425,6.273707
2.134996,-26.86362,-1.5870396,-2.8828936,0.37444937,7.6383395
8.620742,-26.976683,-0.94396853,-3.3999758,-0.81166327,8.657844
22.804197,-22.115664,-1.2520444,-3.1918297,-1.7144955,8.179245
32.173294,-12.744173,-3.7854455,-3.2904816,-1.3971604,7.2729
45.798626,-4.7982078,-7.1192455,-3.6169794,-1.2652174,8.306759
81.70473,14.021342,-2.42034,-4.716199,-1.1746593,7.6516256
71.749985,20.571096,1.8448663,-5.108821,0.81868804,3.1160846
36.291344,21.690338,7.4344997,-4.131313,0.83548635,0.9399412
26.716463,17.115263,4.896313,-2.9348156,0.76859856,0.03298575
12.182458,11.1834545,1.265205,-2.392078,1.3317997,-1.0732586
3.1680973,8.26122,-0.84047896,-2.5441787,1.136634,-0.94116294
-1.6408781,7.5702925,2.012364,-2.8951106,0.5816793,-0.34421244
-2.656033,9.35474,7.0301127,-2.3198452,0.19287503,-0.24067383
-4.4889355,13.553546,9.513863,-0.85778224,0.25915194,-0.8165501
-8.221141,16.603199,6.7854466,0.041843038,1.0344698,-1.4868022
-7.2658057,21.205793,6.2991056,0.16767757,0.29778802,-1.6360017
3.9637108,23.629723,12.45524,0.5551075,-0.9309312,-2.8596814
9.522238,20.502302,11.864213,1.0624161,0.40942037,-5.188842
13.920844,16.296318,13.921442,1.4965758,2.1152112,-6.471774
26.854649,16.524834,12.762119,2.2821255,2.6707768,-7.3287926
33.267414,18.177675,9.726824,3.281166,4.6073155,-8.72687
34.877186,18.339788,0.068793654,4.3402224,4.808437,-8.925548
24.162724,12.628719,-4.948357,3.9961627,4.22691,-8.475506
18.855442,10.219746,-6.0346985,2.6793287,2.9311507,-5.571843
17.434105,2.5812573,-0.12143575,1.1358705,2.827154,-4.242945
6.6329045,-1.9740787,2.9096723,0.837777,3.579565,-3.4215083
1.5990037,-4.0331025,3.7166517,0.9193251,3.4308236,-1.6172181
2.184647,-5.0973105,4.226323,1.1807678,3.297048,-0.57221115
4.9902315,-7.227521,4.3172503,1.8065808,2.7659163,0.25716668
8.266604,-12.324831,2.0183458,2.4299505,1.9672335,0.45721918
7.3926253,-16.678572,-1.0438689,2.4230783,1.0534061,0.29534465
4.2927237,-20.75355,-4.005585,1.5284926,0.2716743,0.9940012
-0.55752766,-21.741186,-7.0145597,-0.29229042,0.49997848,2.8607504
-0.55453664,-22.631914,-7.413563,-2.8685386,0.37032616,5.1364617
4.723432,-22.84727,-3.9553359,-4.7229185,-0.4495836,6.7060337
13.376477,-21.528824,-1.7581264,-5.1763196,-2.069856,7.2742743
22.71387,-14.314464,-0.424726,-4.790875,-2.9899447,7.676365
36.59942,-0.7926225,-1.2293127,-4.9718385,-3.315068,9.914661
77.37431,19.453648,3.0179477,-5.750516,-3.1600657,9.317253
68.04829,25.7372,6.8201427,-5.943849,-1.4616048,4.097869
41.020157,27.104698,15.691533,-4.448037,-1.8134528,2.2386024
31.770702,20.831316,8.8085785,-2.0579443,-1.7960436,0.8915316
11.872588,13.033107,-0.29910284,-1.9971651,-1.0511154,-0.06062659
3.502494,7.4039917,-1.7694924,-3.1791546,-0.66658705,0.6491779
1.6534405,4.6815577,3.9984066,-4.001966,-0.8251019,1.2662864
1.1766706,6.832107,12.378072,-3.0075064,-1.6324893,1.1170869
-1.7353946,11.310873,14.834902,-0.9747595,-1.6422628,0.02367033
-10.666605,16.051653,9.440284,0.21898875,-1.3927318,-0.8594621
-14.297713,19.798214,8.000402,0.01343864,-1.8788135,-0.58061033
-2.4275186,23.341986,15.191433,0.23166382,-2.390398,-0.81151056
7.219146,23.327627,16.433308,1.4005201,-0.7676823,-3.238865
10.986645,21.014366,8.931808,1.6262281,2.2737262,-5.438068
20.797218,18.191435,1.2693924,0.38071054,4.607468,-7.389419
27.55754,20.277378,6.0173507,0.30801973,5.8998685,-8.322794
29.52444,28.286753,8.437093,2.867317,6.6475453,-7.4158382
36.798023,23.546572,3.1310084,5.0915647,2.9424512,-7.1713467
31.95495,15.105889,-4.554738,4.7594166,1.9412726,-6.640673
25.098316,5.7403817,-7.36451,3.1284542,2.1463645,-6.3114266
6.3768725,-4.6582274,-1.3543376,1.1584718,3.6069005,-5.576272
0.10109676,-7.661818,3.0430722,1.2409362,3.6137724,-3.425326
4.080959,-10.283753,4.671986,2.1605668,1.9017203,-1.5849959
6.446862,-12.771691,3.80399,2.8354003,0.9813261,-0.9669712
4.858028,-14.924633,-1.3393825,2.7876015,0.97552305,-0.78784025
-1.524228,-14.873187,-5.834898,1.3405043,1.1245698,0.19058435
-1.4255241,-14.252848,-4.278367,-1.007898,0.6206208,2.7278912
4.005585,-15.235102,-0.8811569,-2.2499032,0.2544179,4.3345723
7.744969,-15.43909,0.7405786,-2.736901,-0.17745113,5.175556
11.508281,-13.54218,0.67417777,-2.7595024,-0.54090524,5.29177
15.774683,-8.669196,-3.1483564,-3.0351474,-0.75180024,4.3666415
5.105685,-1.6863418,-7.346564,-4.189343,-0.7224796,5.4461613
37.054653,13.060026,-3.2626138,-5.7699103,-3.7820609,10.830169
77.55318,23.471796,3.8404803,-6.2223954,-2.6602397,7.9176493
49.34419,29.669804,9.436694,-6.199336,0.7872294,2.8045526
28.498518,26.813372,15.433107,-3.8865156,-1.0344698,1.8646113
18.200407,19.457836,8.013563,-1.022711,-1.3768498,0.25350162
4.5206404,12.856038,0.5988039,0.080020994,-1.6848694,-0.4341597
-2.4945176,7.9597244,-2.1254246,0.009009997,-1.8452169,0.29687178
-5.023731,5.992226,-1.8335004,-0.5630485,-1.0440906,1.1534324
-11.038091,9.096913,-0.67178494,-1.9571546,0.9975136,1.9832684
-13.913067,12.627523,5.040481,-2.6174805,1.7494665,2.1168911
-13.234702,17.749958,14.408381,-1.4368654,0.3877353,2.0434368
-4.1778684,21.27698,20.858234,1.6885345,-1.6873128,0.76936215
5.1649075,20.985054,17.016558,4.067785,-1.6816626,-1.5445273
12.9685,19.341784,10.392627,4.2649355,-0.13133216,-3.6269057
17.985651,16.350157,3.379862,2.7384284,2.7072752,-6.053038
20.681765,18.668203,14.475381,1.1989405,4.2183585,-7.0279503
24.70769,25.369305,24.59044,4.6051774,6.119926,-5.3384995
35.368908,22.628326,17.148163,6.727872,3.4569373,-4.53493
36.790245,13.347763,-0.90329057,6.7834587,0.49952033,-4.9025073
25.55774,4.0408792,-8.219346,3.9824188,2.278613,-4.858221
10.453644,-0.9667004,-5.8277197,1.6450117,3.5668898,-4.282039
4.240082,-3.7854455,-2.446063,0.653912,3.013157,-3.1266217
2.612364,-5.473582,0.32243285,0.4199575,1.4319787,-2.3838315
