X-Accelerometer,Y-Accelerometer,Z-Accelerometer,X-Gyroscope,Y-Gyroscope,Z-Gyroscope
-1.114773552,-0.3556915067,-1.181091945,-0.2177386433,0.1295233965,0.08980687708
-1.144083233,-0.2508960843,-1.565652987,-0.07761131227,0.2926903367,-0.0001404532231
-0.8930131077,-0.1656222316,-1.064917634,-0.03650942072,0.3133183718,-0.05014396459
-0.7417337281,-0.00341477688,-0.1542161637,-0.08477056772,0.1550260633,-0.09206032753
-0.7017600296,0.1678916379,0.6920131271,-0.1952709705,0.0292588044,-0.06650782377
0.1154216651,-0.1788537614,1.294507311,-0.2963860333,0.04796159267,0.05134515092
0.7973721017,-1.150664365,1.06793669,-0.3082184494,0.09042090178,0.07581959665
0.5059638282,-1.044452354,0.4077338287,-0.321733743,0.2487451434,0.07681650668
0.4765246024,-0.2678358209,0.1606342141,-0.4482091367,0.5980147123,0.2153754383
0.5478123806,0.4142278669,0.263146494,-0.6564360857,0.9769989252,0.4373625815
0.1383130767,0.5450792294,0.2534907769,-0.8071901798,1.251263261,0.5481945872
-0.8788571566,0.2207099126,0.1449713655,-0.7667521238,1.263863921,0.3539887667
-2.18945504,-0.05539484722,-0.3704536071,-0.5416446924,1.177138925,0.1032827571
-1.932728643,-1.037049238,-0.575891424,-0.3626859188,1.059622169,-0.1368184388
-1.727606614,-1.184042903,0.0442389547,-0.3387462199,1.041064143,-0.3032793403
-0.9840200972,-0.6572364128,0.8892547781,-0.5178934336,1.069827199,-0.2885348797
-0.1188015168,-0.4597838955,1.829939299,-0.6893205643,0.9393849969,-0.3066446185
-0.4241865855,-0.4236453913,1.423723474,-0.5734665394,0.5602828264,-0.3220184743
-1.011128688,-0.5333984362,0.1437269184,-0.2588678598,0.06432046741,-0.2919130325
-0.2473716365,0.3075830171,-0.5536193864,0.01361794863,-0.1933392733,-0.2081865072
-0.06113434072,0.4025143405,-0.936383609,0.15966703,-0.3387350738,-0.08578255028
-0.3699930769,0.2430956397,-0.6983990288,0.2303201407,-0.4349297583,-0.02506577596
-0.4441103064,-0.1968286863,-0.01120528463,0.168641597,-0.5178797245,0.04549014941
-0.5056885915,-0.8894121606,1.037493036,0.0461123623,-0.7307102084,0.07388013601
-0.9635251523,-0.9928338105,1.299751642,-0.0251865834,-0.9316917658,-0.0121871056
-1.303686351,-0.1238771396,0.7641244236,0.0296186544,-1.143081188,-0.283819288
