lsm6dso_accelerometer.x,lsm6dso_accelerometer.y,lsm6dso_accelerometer.z,lsm6dso_gyroscope.x,lsm6dso_gyroscope.y,lsm6dso_gyroscope.z
-7.153642,0.2536392,12.317653,-1.2799541,2.1240687,1.0850939
-7.6492558,-1.0175478,6.954739,-0.88290334,1.9780761,1.052108
-7.004988,-2.1355941,6.1528444,-1.2139826,2.3812354,0.8847359
-5.8893347,-1.5777674,6.2700925,-1.3514233,1.2914075,0.83770066
-7.2565336,-0.27038896,6.586244,-0.78333527,1.0067526,0.43629766
-8.185547,-0.9314062,3.394817,-0.7436302,1.6133239,-0.07009472
-8.3219385,-1.2017952,1.9295124,-1.080207,2.163163,-0.38223767
-6.6053867,0.37836507,3.8593237,-1.339817,2.3739052,-0.7261447
-6.9882383,1.0917253,6.207879,-1.0069053,2.29816,-1.0101887
-7.3570323,1.4772689,4.6707897,-0.6037462,2.2218041,-1.4060177
-6.238986,0.083748795,2.408376,-0.7827244,2.910229,-2.3913906
-5.1735816,-0.907478,1.6399808,-0.56770617,3.942561,-3.8629217
-5.1616178,-3.0738797,1.1204392,-0.3300866,4.150249,-4.493927
-7.268498,-8.664112,-2.6671,-0.018554486,4.157579,-4.6607647
-7.8909307,-8.930014,-5.59741,2.4145265,-1.8728577,-3.0987518
-4.8696933,-5.884549,-4.9582276,1.4835953,-1.3799039,-3.8965182
-2.341377,-4.666004,-1.8744774,0.7353074,-1.1746593,-5.269779
-1.0606186,-3.6511483,-0.8210373,0.12377293,-1.7574075,-6.0131803
-2.4658036,-6.775277,3.6918263,-1.4613757,0.23280916,-5.463418
-1.0342976,-4.5678983,-0.83778703,-2.4113195,0.8106707,-4.7688847
-0.85244304,-6.066703,-2.7819555,-3.23352,-0.7164475,-3.9911997
-3.6583266,-10.847563,-2.559423,-3.320871,-1.6315731,-2.914276
-3.8497524,-23.292334,-4.8505507,-2.5738049,-4.748803,0.940323
-4.9438705,-29.868708,-3.626921,-0.14744325,-3.9534798,2.967725
-3.8497524,-21.987349,-1.745265,1.500699,1.5528501,1.7503065
-3.1603205,-10.967503,-1.5921243,1.6741797,4.1795697,1.7344245
-0.5769694,-4.4841495,1.7715861,0.7029325,5.306659,1.9170678
-0.5315057,-1.8649062,2.990131,-0.59091836,5.9498816,0.5816793
-4.5559344,-8.326724,-1.2352947,-0.28671643,1.2590326,0.35994175
-2.6024938,-10.117453,-2.6359932,-0.06620057,-2.6810086,0.7044596
-2.271985,-10.412068,-2.2695923,-0.23907034,-2.6303084,0.4045336
-2.5522444,-9.157332,-1.5011971,-0.49012858,-0.94559157,-0.1885991
-3.2033913,-8.017751,-2.3629124,-0.23296188,0.0122933015,-0.30343837
-4.1177487,-7.450352,-3.777968,0.26487863,-0.45744824,-0.12690352
-4.817051,-7.582257,-3.8210387,0.2618244,-0.5851153,-0.10735641
-6.241379,-8.0201435,-3.4689946,-0.022830416,-0.41163468,0.03802524
-6.7728844,-8.226225,-3.2153554,-0.37895438,0.05077668,0.16691402
-6.538388,-8.274081,-2.5498517,-0.5426614,0.6029826,0.36788276
-5.4634123,-8.286046,-1.7572291,-0.38017607,1.0360733,0.55785626
-4.091428,-8.506186,-1.5634105,-0.16088189,1.7086161,0.68552333
-3.4929228,-8.190332,-2.0662024,0.19035527,1.6597483,0.5596888
-3.8138602,-7.9148593,-2.530709,0.38040513,1.2010021,0.42346987
-4.034,-7.778468,-2.6168506,0.388957,1.0299648,0.3837648
-4.4889355,-7.7425756,-2.5450659,0.34070006,0.9389486,0.34955734
-4.922335,-7.5942206,-2.248057,0.23189288,1.1319764,0.38681903
-5.3964133,-7.8909307,-1.9414765,0.3113794,1.6603593,0.31596074
-5.669195,-8.164012,-1.9558334,0.40300646,2.1784341,0.38559732
-5.168796,-8.022536,-2.5785656,0.28022617,2.7727885,0.47844613
-4.4051867,-7.9244304,-3.114857,-0.010613471,2.8436468,0.406977
-3.4426737,-8.142476,-3.7588253,-0.4180486,2.4801927,0.14981028
-2.990131,-9.140582,-3.667898,-0.800439,1.4997064,-0.2625116
-3.8904305,-10.232307,-2.1308086,-0.74729526,0.41361994,-0.54533386
-5.7074804,-10.684851,-0.9385847,-0.4827984,0.4246152,-0.55266404
-7.795218,-10.488639,-0.22253251,-0.031993125,0.9920923,-0.5386146
-8.56122,-10.191629,-0.5769694,0.39995223,1.1790116,-0.5154024
-7.3809605,-10.782956,-0.58893347,0.4188885,0.6781168,-0.30038413
-6.3538413,-11.304891,1.3549358,0.5709895,-0.0017561859,-0.10735641
-8.841479,-11.276176,1.9800607,1.8678182,-0.48249298,-0.043217443
-9.98824,-9.21476,0.021535404,2.8610559,-1.0195041,0.32756683
-8.33151,-8.115856,-4.1368914,2.997962,-1.9217255,0.7876112
-7.103393,-9.260523,-5.2836514,2.4994342,-2.9931517,1.0154572
-2.4801607,-15.078073,-2.8872397,1.4536637,-3.1947312,0.019088976
-2.707778,-15.6670065,-3.167499,1.8378867,0.033062108,-0.17149536
-1.9271195,-11.304891,-0.8258229,2.5757902,1.0495119,0.42957833
-3.5527434,-8.18794,-6.4351974,1.1702306,-1.8740793,0.80532575
-9.0544405,-6.0044894,-3.2871401,1.2588035,-0.863738,1.7118231
-1.0031909,-3.2656047,-5.235795,0.3749075,-2.1984394,1.0276742
-0.34247273,-3.3086755,-2.7317061,-0.06986566,-1.9870862,-0.08047912
0.35204405,-2.1738794,-1.2113664,-0.034436513,-2.007855,0.11743539
2.03031,-2.044667,-0.25842485,-0.42354622,-1.0659285,0.26037365
1.4509479,-4.6301117,0.6439684,-1.1193012,-0.13553174,0.158973
-2.341377,-9.861421,7.697112,-0.8694647,-0.81914616,-0.08414421
-18.10649,-18.02274,4.086642,-0.021608721,0.7801283,1.3300436
-8.829515,-12.046965,6.98106,-0.96170264,-2.29984,0.5981722
-1.6543378,-8.17119,1.6040884,-0.98186064,-1.0512681,-0.068873025
0.27756742,-10.143773,7.6803627,-0.8034932,1.0653939,-0.16294351
-0.4334,-10.79492,-5.858228,0.055358034,1.1527451,-0.06398625
-2.248057,-11.410174,-7.376175,-0.4131618,0.5913765,-0.2600682
-2.367698,-8.056036,-6.6628146,-0.32397813,2.2578442,-0.30649263
-1.5251254,-7.007381,-6.48096,-0.7143095,2.862583,-0.51845664
-3.6245282,-8.896515,-7.5269227,-0.5292228,0.63352495,-1.224596
-8.5372925,-10.186844,-7.483852,-1.0276742,-2.3548162,-1.0077453
