x acc,y acc,z acc,x gyr,y gyr,z gyr
0.9095916748,0.8094482422,-0.2807769775,1.107415318,2.135657072,-0.3589626849
0.7284851074,0.6319732666,0.1495513916,0.7540668845,0.7315586209,-0.6651465893
0.9112854004,0.7382049561,0.2469482422,-0.04697203636,0.6827961206,-0.535728395
1.06968689,0.5364685059,-0.1104278564,0.2317227125,1.299197555,-0.3566984534
1.094573975,0.3019256592,-0.1138305664,0.9345692396,1.275649905,-0.1648848206
0.8854522705,0.2548980713,-0.2542877197,1.534974933,1.550146461,0.224751085
0.6130065918,0.3707275391,-0.3349456787,1.709341884,1.600671887,0.586286366
0.4200439453,0.3581695557,-0.4530944824,2.007067442,1.576619625,0.4656491876
0.5131988525,0.4417114258,-0.416305542,2.159771681,1.616798997,0.2706573308
0.5907745361,0.578918457,-0.2860412598,1.725817561,1.582385302,0.2228008509
0.5684356689,0.6173400879,-0.2684936523,0.9062764049,1.427669764,0.2417055666
0.540512085,0.6751098633,-0.1596374512,-0.05385950208,0.6912586093,0.06158906221
0.5841217041,0.9147644043,-0.06747436523,-0.2802700102,-0.03389937803,0.09804933518
0.6288299561,0.9767303467,-0.2174835205,0.3104806244,-0.4500031173,-0.01832627691
0.7927093506,1.009216309,-0.02313232422,0.3435128927,-0.6144911051,-0.0135578867
1.071044922,1.068481445,0.0502166748,-0.4448355138,-0.1098540649,0.5100209117
1.080032349,1.053344727,0.00520324707,-1.022808552,0.5299035311,0.8861373067
0.8367004395,1.028045654,-0.1886138916,-0.6532675624,0.8432297707,0.9014190435
0.4774627686,1.103164673,-0.1683197021,0.4044878185,0.8207519054,0.8970810175
0.6248474121,1.079833984,-0.07339477539,1.015132308,0.08824517578,1.949242115
0.7538299561,0.9064178467,0.1262817383,-0.4252378345,-2.275502443,2.539339304
0.8449707031,0.7503814697,-0.06224060059,-1.041507959,-2.122587204,2.16181922
1.143127441,0.7403106689,0.2795562744,-1.291202426,-2.252773285,2.75447154
0.8930969238,0.8560638428,0.1175079346,-1.111347795,-2.753390789,2.985275507
0.6006774902,0.8125152588,0.1136932373,-2.39742732,-2.482985735,2.331381321
0.6501617432,0.280166626,-0.2983703613,-2.700580597,-1.694194913,1.853177905
1.231567383,0.1042022705,-0.4623565674,-1.924090981,-1.414373398,2.491399527
1.124130249,0.3155670166,-0.3872070313,-1.615814447,-1.071576953,3.089885235
0.8079528809,0.3578338623,-0.2168426514,-1.615946174,-0.9442980886,2.180993557
1.468307495,0.1447143555,-0.4792327881,-1.172815681,-1.227006197,3.201798677
0.4004516602,-0.002914428711,-0.1834259033,-1.145747781,-1.018315315,2.174155951
0.7919006348,-0.02737426758,-0.4816131592,-0.7019203305,0.05991446599,1.714982271
1.100036621,0.252456665,-0.04220581055,-0.5009533763,-0.6743331552,2.028806448
0.7886505127,0.4876098633,0.03643798828,-0.6760075092,-1.075326324,1.804278016
1.002288818,0.2811737061,-0.008117675781,-0.9439755678,-0.5649203658,1.441321731
