accelerometer.x,accelerometer.y,accelerometer.z,gyro.x,gyro.y,gyro.z
1.148893118,-1.049281089,1.686634406,-0.2658696175,-0.2418299019,-0.2381073833
1.135272004,-1.054724157,1.366847156,-0.2521234453,-0.2530620396,-0.2075737119
1.125418134,-1.098513615,1.031871689,-0.2238723487,-0.2518998384,-0.1713406593
1.122282394,-1.100763439,0.71180913,-0.1834170669,-0.2411553264,-0.1167389303
1.179547857,-1.064252449,0.4667436515,-0.1353822351,-0.2469334304,-0.05394790322
1.294094639,-1.055427337,0.3127133658,-0.1090400964,-0.2323731184,-0.0004535205662
1.333172558,-1.072037696,0.2407306641,-0.1057886928,-0.2182318419,0.05198602378
1.327757255,-1.122581303,0.2848924619,-0.1178355068,-0.1821587831,0.1044702679
1.322995301,-1.187432254,0.3414496309,-0.1318585277,-0.1323232204,0.1464644074
1.281405984,-1.233202071,0.3325537923,-0.149192512,-0.07571399212,0.1803480685
1.21875006,-1.288643972,0.3114730103,-0.1724199504,0.03113399073,0.2189195156
1.149961478,-1.332795249,0.2852864297,-0.1842150986,0.1417752802,0.2642395794
1.047989442,-1.292484281,0.2652209622,-0.1796266139,0.2693628073,0.3140239418
0.9583027415,-1.235042146,0.2263151852,-0.1595594287,0.4418410957,0.3628290296
0.9526560408,-1.237532209,0.1020505077,-0.1449364573,0.5657461882,0.4057194591
0.9772828979,-1.233710605,0.05501052408,-0.1107595786,0.6090614796,0.4451132119
0.9874187267,-1.233519466,0.06913783363,-0.06984788924,0.5292260051,0.4476926923
0.8963888678,-1.375221016,0.2840507504,-0.04746002704,0.4170291126,0.4267519712
0.8098871538,-1.472291982,0.6810182704,-0.04357445985,0.3209765255,0.4360713959
0.8038636557,-1.392197286,0.9572884499,-0.06006501988,0.2493550628,0.4883737564
0.7587234413,-1.245426762,1.094057804,-0.05911049992,0.2261026353,0.5709347725
0.7189229805,-1.060996662,0.7889069827,-0.01729860529,0.1994113624,0.6555876136
0.7619678301,-1.056080248,0.2629039175,0.05259442329,0.1433040947,0.763207972
1.007642234,-1.281737846,-0.3108691992,0.1026080549,0.02755299397,0.9095766544
1.02293603,-1.102276182,-0.7228396425,0.2168282121,0.07968571782,1.025057316
