x acc,y acc,z acc,x gyro,y gyro,z gyro
-9.233351515,2.446024494,-6.64227996,0.5098522305,-0.0406684503,-0.256084919
-7.266451138,-0.3031251609,-4.150997397,1.366313815,0.2835570872,-1.396322012
0.6982415001,-0.3687134854,4.275892774,0.4954330325,-0.2576567531,-0.649928987
-4.365592334,-0.4367711226,5.131377384,-0.123740159,-1.553525209,-0.6801989675
0.6206029646,-0.05273877976,2.892486697,-0.3676651716,-0.8125691414,-0.3876405954
2.049991771,1.535024625,3.113924047,-0.6801402569,-0.8807148337,-0.04926424101
0.252746023,0.02405395254,1.987884713,-0.7294957638,-0.8382222652,-0.2833759785
-0.03511778287,-2.139716611,1.655412169,-0.9615615606,-0.3046740592,-0.7146782875
0.7720535361,-2.919472027,0.6292693784,-0.7332577109,0.3986321092,-0.7823033929
0.7907775258,-0.4190530951,-0.6378636038,0.03142775595,1.023888111,-0.5976033211
3.621429625,-5.122134924,-0.457302454,1.232796907,1.514578581,0.9335277677
1.249025371,-1.882045626,1.096180203,1.970357299,2.014256954,1.054610491
-0.8221035882,-0.1961179076,2.601888717,2.549947023,2.333714008,0.09670176357
-2.480957568,1.058060608,4.092141888,3.149659157,2.63470149,-1.032573104
-2.099009923,1.912483142,6.616840398,3.395015717,3.114942551,-1.423686624
-0.1973208537,2.273159452,9.63211001,3.022318125,3.656372786,-0.755222559
-0.9394617013,3.750411102,10.87958318,2.127194643,4.375751495,0.1409077048
-2.609003225,6.812724205,10.67528577,0.8078973889,5.13582325,0.07459528744
-4.189406331,9.508868246,9.504027236,-0.7913650274,5.370847225,-1.510245204
-2.43970026,11.11952474,8.287997833,-1.648029566,5.70426178,-3.022164822
2.033349994,12.0767413,6.543548368,-2.034145594,5.794761181,-3.611758709
5.546355777,13.2841075,5.49530422,-2.336445332,5.709015369,-3.614924431
7.647298129,14.99029533,4.924703304,-2.909454107,5.176848888,-3.676819801
8.513398242,16.44900478,4.374211109,-3.774196625,4.306011677,-4.227823734
9.629735098,18.21588352,3.492603631,-4.713990688,3.623020411,-5.147519112
11.95734569,18.66054686,1.655409977,-5.297736645,2.978507042,-5.659517288
13.05988841,15.61131594,-0.938949587,-5.219745159,2.41800499,-5.334589481
12.31703123,12.6091706,-2.684905439,-4.791574001,2.066158295,-4.669086456
10.77724041,10.93498534,-3.63818816,-4.27020359,1.962136269,-4.133299828
9.217804986,9.904237099,-4.241961863,-3.650847673,2.14064002,-4.08296442
