accelerometer-x,accelerometer-y,accelerometer-z,gyroscope-x,gyroscope-y,gyroscope-z
-0.1566699866,1.989467306,-2.786170641,1.610573888,-2.869592905,2.753574371
-0.7842898443,1.836101329,-3.413213576,1.628036737,-2.878523827,2.92425251
-1.879677436,1.640385865,-4.044033398,1.779960513,-2.860039711,2.995094776
-3.127797675,1.471533857,-4.383209239,2.030422926,-2.759234428,2.932404757
-4.291878863,1.368565066,-4.464640153,2.312088966,-2.542705774,2.7536304
-4.838827101,1.176673982,-4.139989389,2.585427523,-2.216170073,2.493932247
-4.948099377,0.7156459316,-3.747331256,2.797137499,-1.858426213,2.230361462
-4.845064534,0.0318339389,-3.23184374,2.867182493,-1.464992285,2.012164116
-4.522994142,-0.5715481341,-2.325452534,2.772857428,-1.023638368,1.848078847
-4.213373482,-1.318695119,-1.780113192,2.541842222,-0.6116394997,1.737142086
-4.087312568,-2.272647557,-2.169522844,2.233532429,-0.5087570548,1.686654329
-3.157901721,-2.844840857,-0.4261103201,1.968648314,-0.1414433718,1.586166859
-2.9882232,-3.11236542,0.2264788514,1.743950486,0.1289098263,1.402233005
-3.156853673,-3.660797174,-0.6510322974,1.575561285,0.1644058526,1.188796997
-2.999944617,-4.311479636,-0.5568734198,1.511650324,0.1098717749,1.000914097
-2.470639588,-4.932643449,-0.7492629546,1.511570454,-0.09408098459,0.8561776876
-1.654711327,-5.21206011,-0.6605886458,1.559306026,-0.3130868375,0.6985542178
-1.022928505,-5.104160876,-0.6358417426,1.632665277,-0.5736796856,0.5207513571
-0.4934346746,-5.02510429,-0.663905223,1.720690489,-0.8396740556,0.3419262469
0.1529717166,-5.259888029,-0.1328741005,1.769002676,-1.06544745,0.1986622214
0.8445955522,-5.559889797,0.5669231046,1.524225235,-1.51681459,0.09404553473
1.685150304,-6.049950027,1.763105066,0.8105070591,-2.298214197,0.02669262141
2.202538102,-6.409137559,3.408365843,-0.1216041371,-3.118224144,-0.02254922688
1.504885507,-5.331453382,3.415565107,-0.6308088899,-3.558168411,0.2166802138
0.7929951288,-4.336262487,1.785960457,-0.7231841087,-3.766989708,0.7327856421
1.579949808,-3.754201434,2.060069659,-0.5918450356,-3.744163513,1.053634048
2.23657072,-3.270644887,2.443818216,-0.3848199546,-3.608044147,1.125344157
2.403565116,-2.499547118,2.581895146,-0.1798366904,-3.366598606,0.9415088296
2.274662842,-2.096489756,3.061144936,-0.06322991103,-2.937890053,0.6381055713
2.020353734,-1.933390906,3.610074411,-0.06578633189,-2.328794718,0.3214144707
1.664822971,-1.354862119,5.186254637,-0.3011232316,-1.430811286,0.05456278473
1.79846338,-2.266658692,4.536571416,-0.3586711586,-0.7367627621,-0.02194265835
