accelerometer-x,accelerometer-y,accelerometer-z,gyroscope-x,gyroscope-y,gyroscope-z
0.4221715193,-0.1179132627,-1.823707127,-0.3217741549,-0.582832396,-0.3195168376
0.638781157,-0.2071434518,-1.945218122,-0.2161684334,-0.7824341655,-0.2839984894
1.023540791,-0.4137104189,-1.831555502,-0.1254454553,-0.9427612424,-0.2306300849
1.326800977,-0.6190240249,-1.552905734,-0.03965650871,-1.090673804,-0.1541174054
1.410747088,-0.7152779751,-1.500900822,0.03712508827,-1.228640437,-0.07857097685
1.303666477,-0.6619523354,-1.468613001,0.1163930893,-1.310094833,-0.02956713364
1.110320372,-0.5226268668,-1.22389356,0.1787952185,-1.302072644,-0.001973322127
0.8646884921,-0.3693069213,-0.8594143511,0.2267647833,-1.23122108,0.005659109447
0.6123454239,-0.1832484892,-0.600804916,0.2538363338,-1.125642657,0.0101188384
0.4648655827,-0.01820011195,-0.4419710293,0.2316708863,-1.017480731,0.01403863076
0.4560647289,0.008661445361,-0.3891588921,0.1528666317,-0.9114550352,0.03010681272
0.4041545089,-0.1263297934,-0.2875678186,0.04412210733,-0.7840720415,0.02929495089
0.1457429344,-0.3735466046,-0.3138444156,-0.08122569323,-0.6274094582,-0.004769807216
-0.1594336061,-0.5691586086,-0.3059194678,-0.2060991675,-0.4558693767,-0.05877956003
-0.2922036617,-0.5310292228,-0.140938749,-0.3178339601,-0.2975319326,-0.09479695559
-0.2887865467,-0.3457812304,0.05607318488,-0.398254782,-0.1719404757,-0.1059492603
-0.1402124805,-0.1667692097,0.2197130105,-0.4473744035,-0.08158554137,-0.08400694281
0.02918079404,-0.04777940378,0.3080903821,-0.4785609245,-0.0528960973,-0.04228034988
0.1239890755,-0.07323971599,0.0836526812,-0.5105776787,-0.06611416489,-0.02219905332
0.0563274519,-0.2405263737,-0.1587070454,-0.5492438078,-0.05618271232,-0.023699224
-0.1130786822,-0.4127572098,-0.17963176,-0.5839418769,-0.02992767096,-0.07355546206
-0.262057822,-0.4910929338,-0.268058816,-0.6456151009,0.08003532141,-0.1874753684
-0.5569853557,-0.598975947,-0.2779828286,-0.748639524,0.2792086005,-0.3304767013
-1.009048448,-0.4622292428,0.09162672882,-0.8630784154,0.5593885779,-0.42437011
-1.238259062,-0.1810596009,0.6720686557,-0.940979898,0.8582652807,-0.4648067653
-1.101800381,0.1296188981,1.083687217,-0.9636248946,1.027002215,-0.4322208464
-0.5310480737,0.3380302509,0.9833213013,-0.941634655,0.9321914315,-0.3648628592
0.1239002282,0.2827462437,0.01924889035,-0.8694095016,0.540733099,-0.2670079768
0.6561991787,0.1304589291,-0.7879536275,-0.7572358251,0.2026872039,-0.1721765399
1.309585053,-0.2372390956,-0.6873071414,-0.6776406169,-0.02585835755,-0.1210767627
1.322880004,-0.7081578409,-1.093815812,-0.6484704614,-0.1704163402,-0.1195797995
0.7972434339,-1.057290428,-1.275706749,-0.6617153287,-0.1863737404,-0.1438060552
0.1050438443,-1.071437172,-1.167633328,-0.7186177969,-0.06090901792,-0.2125286609
-0.3482026123,-0.7841917907,-0.9977519777,-0.767634809,0.162386924,-0.2973952889
-0.4591095034,-0.3735072225,-1.053846205,-0.7385098934,0.3976468444,-0.3803522289
-0.4646884726,-0.0223470025,-1.312047644,-0.6482431293,0.5541315079,-0.43745327
-0.2311789919,0.1792326046,-1.743873712,-0.5395195484,0.5874208212,-0.4763833582
0.16260756,0.06561652764,-2.152682476,-0.4420383573,0.5585190654,-0.4688275456
0.4569119933,-0.2956025104,-2.103033187,-0.3412595391,0.5240428448,-0.4025657177
0.5529004245,-0.587340162,-1.864198712,-0.2547242939,0.4871871173,-0.3238343596
0.5377314969,-0.6378345238,-1.590953433,-0.186610207,0.45231089,-0.2437765151
0.5454790423,-0.5543470431,-1.289074765,-0.1348979622,0.4110193849,-0.1858282685
0.5622843389,-0.443997859,-1.004231987,-0.1144611165,0.3578059673,-0.1532117277
0.5430141135,-0.4175757891,-0.752357998,-0.1320628077,0.2939430773,-0.1291241795
0.5542033238,-0.4454925545,-0.521230444,-0.1588576734,0.2393812984,-0.08943642676
0.5284741315,-0.4803728023,-0.2338637009,-0.1679358631,0.2035516649,-0.04005476087
0.485495406,-0.4517220965,-0.1011596963,-0.1467280388,0.1482455283,0.003609895706
0.5098743527,-0.3493693911,-0.1778641658,-0.109737508,0.07386875898,0.04208255559
0.5338219223,-0.2576574682,-0.2478822894,-0.07036640495,-0.03460152075,0.05679651722
0.4522533539,-0.2307392853,-0.3134749978,-0.04794131592,-0.1172553673,0.05176097527
0.3711678928,-0.2080757642,-0.1406803903,-0.04055796936,-0.1506703347,0.05747185647
0.3288043766,-0.1522509281,0.09141980807,-0.04592040926,-0.1599021852,0.05986543
0.3136164521,-0.1246120297,0.0773375067,-0.06559370458,-0.142387107,0.03795134649
0.2118506066,-0.1529667482,0.03090133422,-0.08513563126,-0.08913876116,0.02032418363
0.1406131703,-0.1546479062,-0.0253758488,-0.08371537179,-0.03067997843,0.02022511326
0.06785714617,-0.08854286439,-0.1760761134,-0.06886200607,0.01401903015,0.02217314206
0.02660480607,-0.06310980552,-0.2790437359,-0.03653708845,0.04247437418,0.03351927549
0.06710545102,-0.153704634,-0.2598550513,-0.03239656985,0.07780200988,0.04580564052
-0.002244271795,-0.2574485016,-0.1028103861,-0.04947915301,0.1022226587,0.06263867766
-0.07696370495,-0.3227580822,0.03725684073,-0.06819399446,0.1193188131,0.08644276857
-0.1166746608,-0.2983907528,0.08542436705,-0.06465385854,0.1136907488,0.111859709
-0.1119379877,-0.2263632622,0.05852759229,-0.04175811633,0.07922706753,0.1286901385
-0.07601268784,-0.1484997588,0.05123392815,0.004517771304,0.001434264705,0.1532719135
0.006729015994,-0.05360032849,-0.009753916773,0.08451765031,-0.1239952967,0.1863044053
0.09323182593,0.03838295868,-0.1242535717,0.1657502055,-0.2774783373,0.2170061171
0.09249182121,0.0936043125,-0.1281990944,0.2469087243,-0.4583261013,0.2496933192
0.07815875996,0.1425944072,-0.1087502976,0.3013456166,-0.6409281492,0.2679535449
-0.02709492767,0.176754999,-0.1981827312,0.3272313476,-0.7476503849,0.2582499385
-0.2477940266,0.1598704266,-0.004728197566,0.3137097061,-0.7544941902,0.2256057113
-0.4210433921,0.1230604894,0.2570797413,0.2540454268,-0.7046403289,0.1869603395
-0.4808312136,0.1400004452,0.3754220431,0.1726014465,-0.6339022517,0.1439742595
-0.4751607667,0.1711339808,0.4663397469,0.10447032,-0.545278132,0.1241531596
-0.4648363566,0.2188138697,0.5372247165,0.06535407901,-0.491371423,0.1414597034
-0.3116755471,0.3261462998,0.3796837922,0.07584676147,-0.5204137564,0.1699761152
-0.1463464533,0.4375630401,-0.0201367791,0.1102364287,-0.5793489814,0.1726171672
-0.1801902707,0.4186309607,-0.1954793175,0.1276327521,-0.5966843367,0.1394034922
-0.3277338248,0.2786985757,-0.1548158832,0.1058198735,-0.5432873964,0.08091062307
-0.4293333738,0.1761097599,0.005973229191,0.03418011218,-0.4219875336,0.01183349267
-0.445047368,0.1686681752,0.2332055293,-0.05921588093,-0.2401823252,-0.02663373761
-0.3949319225,0.2293747189,0.4864110595,-0.1560887694,-0.07697667181,-0.02163144574
-0.3164385238,0.2772245576,0.5511404291,-0.2089506388,0.01352685969,0.02383563854
-0.2043307325,0.3181688547,0.4688064293,-0.2054796815,0.007039130665,0.0835711211
-0.05589315214,0.3638550856,0.3526853107,-0.1479748487,-0.103578724,0.1434224695
0.02782762586,0.3598135916,0.1922264532,-0.07163373381,-0.2734045088,0.1787154377
0.01632365055,0.2824743314,0.1921323451,-0.005561778322,-0.4261796474,0.2066437304
-0.0182861828,0.2080649505,0.3999941743,0.02501864359,-0.5309191346,0.2235128134
-0.0768061763,0.2596491534,0.6535913343,0.002998829586,-0.5778669119,0.2335859537
-0.1461392402,0.369820716,0.9531704932,-0.04854382575,-0.5571725368,0.2470509708
-0.1995014126,0.4674908166,1.199513152,-0.1202401146,-0.5102889538,0.2482714951
-0.2530897949,0.5093911358,1.272072192,-0.1882655621,-0.4732260108,0.2457234263
-0.2469207509,0.5465957714,1.239140813,-0.2488455474,-0.4553713799,0.2491237521
-0.2107312471,0.57820087,1.090704402,-0.2984656096,-0.4649667442,0.2641355395
-0.1874488635,0.5842040559,0.9401993679,-0.3317205012,-0.499889046,0.2895958722
-0.07680150013,0.5777032957,0.8066103972,-0.3393700421,-0.5638083816,0.3192955554
-0.03558393908,0.6200896083,0.6447931108,-0.3152266145,-0.6392474771,0.3394596577
-0.04494301132,0.6324065074,0.5041454537,-0.2744300663,-0.7298591137,0.3468307257
0.01064209778,0.5925089429,0.3142991737,-0.2464316934,-0.804125905,0.3289236426
-0.03764847039,0.49041445,0.1867892305,-0.2523730099,-0.8132834435,0.2992035449
-0.1870949355,0.3584939969,0.1488800634,-0.2914711535,-0.7413426638,0.2517127097
-0.2933648144,0.2644208979,0.1693061808,-0.3692372441,-0.5656560659,0.2013795823
-0.3374365959,0.2383763561,0.2940373069,-0.4556277692,-0.3552809954,0.1710733473
-0.2839566424,0.2456953008,0.16571897,-0.5262383819,-0.212436229,0.1733278185
-0.1127329375,0.241044114,-0.1854208648,-0.5556420684,-0.1463269889,0.2090812922
0.05415946021,0.1625175436,-0.4911018477,-0.5424554348,-0.1467754543,0.2648312747
0.1702694729,0.1170084228,-0.6329173795,-0.4864818752,-0.1911226809,0.3263180852
0.2608940389,0.1466184021,-0.7115028405,-0.3936226666,-0.2734849453,0.3796236217
