AcelerometerX,AcelerometerY,AcelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0.2505871645,-1.368224874,0.3901823899,-0.4107868671,-0.189956829,-0.1406423151
0.1802030571,-1.578351872,0.4898509709,-0.3963936567,-0.09724614769,-0.2025571764
0.09983232017,-1.771468844,0.5104840091,-0.3872949481,-0.0578042008,-0.2875375748
0.05818893492,-1.770294539,0.4422732271,-0.3658324182,-0.08453317732,-0.3716472983
0.2421958413,-1.695457763,0.203317756,-0.3284280598,-0.1102880761,-0.4210806191
0.4258418054,-1.589294852,-0.02888824083,-0.2771155238,-0.07314012945,-0.4121679068
0.551549156,-1.460334418,-0.3022673751,-0.2280097604,-0.01390077546,-0.3720063567
0.5783212084,-1.398073484,-0.3868494461,-0.1923211664,0.04203373566,-0.3510801196
0.526249222,-1.52165544,-0.5063280584,-0.1571671665,0.09395898879,-0.3488100469
0.4708380082,-1.58221147,-0.6270335822,-0.1284196377,0.1039329022,-0.3710680008
0.3755085524,-1.506624168,-0.6001818156,-0.08998435736,0.05900697783,-0.4037713408
0.5370280979,-1.34919401,-0.5905787055,-0.04059692472,-0.0359057337,-0.4087958038
0.8618557529,-1.176473491,-0.6263941153,-0.0002042305714,-0.1289238185,-0.379219532
1.071149368,-1.060723252,-0.6279705708,0.02117002569,-0.1822278798,-0.3209991455
1.127100388,-0.9714799107,-0.6156295601,0.03482351825,-0.1880812347,-0.2404827327
1.194524038,-0.9330309376,-0.7490940277,0.05633082613,-0.15486826,-0.1609089524
1.163057983,-0.9371518169,-0.8880588463,0.0778246671,-0.1282417178,-0.101100482
1.047861578,-0.8946738805,-0.9552291793,0.1227819994,-0.1202633828,-0.05368231609
1.107583568,-0.9084808721,-1.170065524,0.1789249033,-0.07212860882,0.0003955655266
1.058866737,-0.916146146,-1.351433898,0.2319141477,0.004452967551,0.03910104558
0.7772028817,-0.8691847806,-1.299939858,0.2587689161,0.02879612334,0.06820673496
0.4606062447,-0.873677562,-1.057378471,0.2310425788,-0.04210489988,0.04495855421
0.09053725308,-1.057511742,-0.7382254277,0.1411145627,-0.1545379609,-0.03767960146
-0.1397131527,-1.234817982,-0.6657406217,0.03554204106,-0.2435631454,-0.1381243914
-0.1656993154,-1.210426322,-0.8441150752,-0.06787436455,-0.2840272188,-0.2269546688
-0.2473011285,-1.041475822,-0.9814216051,-0.1630182713,-0.3166473806,-0.3298282921
-0.3929404199,-0.7418379191,-1.011125839,-0.2421767414,-0.36958915,-0.4054679275
-0.3842257465,-0.4221759033,-1.026553125,-0.3148477674,-0.4362509847,-0.4657946229
-0.488712651,-0.1739637974,-1.058483218,-0.4082453549,-0.4916687012,-0.5025568604
-0.5302585672,-0.01591404684,-1.056440898,-0.4906002581,-0.5240632892,-0.5246365666
-0.5639058757,0.1943156805,-1.245568801,-0.5427342653,-0.5128479004,-0.5344734788
-0.6661454031,0.5285330221,-1.582349855,-0.5443726778,-0.4215956628,-0.5258090496
-0.7584628907,0.9115623254,-2.024957429,-0.4771126807,-0.2560032308,-0.4837066531
-0.7789838468,1.28634534,-2.47914555,-0.3288787603,-0.05608004704,-0.3962345719
-0.7753207943,1.651013349,-2.674503872,-0.106984973,0.1612203121,-0.263797164
-0.7355710407,1.731382333,-2.614862181,0.1297076643,0.3724198043,-0.142712757
-0.7948385647,1.502239377,-2.146613385,0.3405455947,0.5079510212,-0.05332082137
-0.7866981475,1.224615737,-1.295869832,0.4984898865,0.5581598282,0.02964416146
-0.601382862,0.9659868662,-0.3828203367,0.5775408149,0.5347783566,0.102089338
-0.5330428277,0.6416267557,0.6050070438,0.5331729054,0.4590266943,0.1432507038
-0.6346664152,0.240372206,1.542562619,0.4086829126,0.3554507494,0.1727169901
-0.5260528957,-0.09677154436,2.053751562,0.3279892206,0.2826536298,0.1870218664
-0.5369025718,-0.4494783362,1.668834545,0.3421143591,0.178330943,0.1115140617
-0.824585249,-0.594903583,1.532469095,0.2878842056,-0.07283699512,0.0002801928204
-0.9280705387,-0.5091084829,1.574931103,0.2551099956,-0.2003475428,-0.06427989155
-0.9876312734,-0.3833754864,1.028455744,0.2513250113,-0.1677639484,-0.09802343696
-1.197969576,-0.33618908,0.6999982806,0.2570598722,-0.01955476962,-0.1642820835
-1.387345608,-0.4393725373,0.8205378002,0.2523804009,0.08464916795,-0.2577110827
-1.238876902,-0.5043668413,1.238730479,0.2421616018,0.1293130368,-0.329125613
