Accelerometer X,Accelemeter Y,Accelerometer Z,Gyro X,Gyro Y,Gyro Z
-22.4178711,-6.977983156,-22.21936513,-0.3393770456,3.56478405,4.416241169
-23.35444117,-9.116482208,-21.64795757,0.2139817476,4.07903862,3.477089167
-22.48547222,-10.8427057,-20.21632084,0.6905347705,4.305177689,2.72347784
-20.62535055,-11.85521919,-17.39934385,1.068602324,4.384423256,2.122382879
-18.54887862,-11.89960077,-14.27069628,1.374798775,4.303924084,1.611379981
-16.64565899,-12.0849059,-11.34036413,1.631121039,4.060512066,1.101099014
-15.24980902,-12.24127018,-8.530468034,1.810351491,3.726071596,0.6059967875
-13.73953539,-12.08167934,-5.645147575,1.826025009,3.410862446,0.2400664687
-11.95787994,-11.98106442,-2.156955916,-2.997354984,4.452498436,-0.6348783374
-14.75960325,-13.99817464,28.03231841,-5.673727512,5.217261791,-0.8698171973
-11.55745322,-14.78196939,28.33694784,-6.027825832,5.594992638,-0.5504594445
-5.265236989,-8.163160909,9.829902281,-5.686263084,4.790474415,-0.3523726463
-3.100776397,-4.489894421,10.12746835,-4.996434212,3.118690729,-0.229338631
-1.096176696,-4.483712517,9.810402631,-3.783587456,1.94354701,-0.2209769487
0.009600479777,-5.635162188,7.649505284,-2.442690849,0.7264746428,-0.191006273
-0.9240893601,-5.976732815,6.444807423,-1.170831323,-0.260974288,-0.4438968301
-2.462531392,-5.060323488,4.171139437,-0.2549495697,-0.9689754248,-0.7606458068
-3.06544351,-4.478050838,2.251249818,0.3861988783,-0.8355664611,-0.8319044709
-1.874111034,-3.383488007,0.6828209359,0.6395408511,-0.221929431,-0.8365399837
-1.253863166,-3.096088531,-0.532740849,0.6599341631,0.6329212785,-0.9186218381
-1.614597343,-3.197542826,-1.502152867,0.5509554744,1.548631072,-0.661447823
0.005049684605,-0.7498860549,-2.343882801,0.3130418658,2.174377441,-0.3264787197
1.484257145,0.8116220878,-2.88623056,0.1134653687,2.123076677,-0.1207564548
1.05341629,1.129878475,-2.849469101,-0.003028302919,1.87127316,0.01016009692
0.9488383092,1.837140609,-2.003625303,-0.057877969,1.563228846,0.09764120728
0.8635819922,2.849108159,-0.6968158512,0.006410807371,1.278589845,0.250161469
1.174761865,4.164342032,-0.0836459592,0.1114440113,1.145067573,0.40523839
0.8194234092,4.647458142,0.2256605207,0.1919449866,1.223564863,0.5566954017
