bmi160_accelerometer.x,bmi160_accelerometer.y,bmi160_accelerometer.z,bmi160_gyroscope.x,bmi160_gyroscope.y,bmi160_gyroscope.z
-4.063013,-11.974582,-1.1063814,-3.4701297,1.1371362,-0.50092584
-2.539383,-11.579467,6.0634127,-3.2261913,0.58441347,-0.5286219
-1.387239,-12.822538,1.2197413,-2.7405782,0.9549814,-0.6777545
0.086141616,-12.650255,-2.8812575,-2.6468377,0.3916063,-0.8437977
0.55304116,-11.320743,0.4651049,-2.4264677,0.5886744,-1.0941274
-0.40977088,-9.073584,3.505186,-2.3902497,-0.5178364,-0.8469934
-0.72352976,-8.592327,-0.63200426,-2.3977063,-1.5488489,-0.6457975
-1.3489537,-7.4446692,-1.4129617,-2.3497708,-1.3102366,-0.5392742
-1.0902299,-6.419345,-1.137488,-1.668155,-0.6115769,-0.49879536
-0.32123643,-5.439783,-1.6262221,-1.2315426,-0.37722564,-0.51157814
-0.12233306,-4.272983,-1.5158532,-0.5936011,-0.13981183,-0.4647079
-0.3786642,-3.0179477,-0.5913263,0.09227581,-0.16644266,-0.22716095
-0.4743771,-2.3685954,-0.67028946,0.5651061,-0.300662,0.011318101
0.34486556,-2.4837499,-1.5999011,1.149919,-0.16218174,0.3085181
1.1353943,-2.6368906,-2.7041886,1.6653587,0.014646954,0.47562656
1.8227327,-4.464708,-7.0806613,2.4107554,-0.24740037,0.5395405
3.3846476,-11.363813,-14.018052,2.1573632,-0.30811864,0.6322158
8.027022,-26.362026,-15.730715,-0.41144624,0.6749583,-0.36031508
2.781058,-15.713965,-5.9620166,-1.540327,-0.15685557,-1.6138281
0.050249275,-1.4967105,-7.6698937,-0.99932176,-1.1270165,-1.2389991
-1.9621146,3.952943,-5.9285173,-0.5254262,-0.987471,-0.19839965
-2.8220353,-8.685647,4.6142592,0.19666864,-0.66164285,0.32875755
-2.0578275,-25.212275,-10.666605,0.47362924,0.6888063,-0.08774857
0.8117651,-27.272196,-6.2255263,-1.5690882,2.0680168,-0.5776226
-10.921142,1.6223338,2.0365913,0.3820192,-0.022636201,-0.21544337
-7.237092,1.0713863,-2.6512475,1.0242215,0.14354014,0.95924234
1.3339987,-11.7158575,8.684152,1.8708155,2.8208702,1.0943937
5.428118,-21.67389,1.8882362,1.662163,1.6994461,0.64073765
4.5969114,-14.933008,-0.40917268,2.0582964,0.44486794,0.05712312
-3.2341988,-6.6445694,-2.498107,1.93686,0.94965523,0.004926703
-7.2323065,-4.625326,-1.7267207,1.7941188,0.6760235,0.73554343
-3.926323,-7.0758758,-1.451247,1.7420554,0.8592436,1.3127666
1.247857,-10.355239,0.62811595,1.6994461,0.94965523,1.4118332
3.947559,-11.500205,1.4258232,1.7239465,0.5439346,1.0529828
3.1402807,-9.217452,-0.2847459,1.6919895,0.3500622,0.51184446
0.6586244,-8.000402,-1.9088743,1.5609659,0.75165504,0.3692364
-0.5488537,-9.16481,-2.7089744,1.2318088,0.7356766,0.477757
0.6155536,-9.672687,-1.7458632,0.91769826,0.62169665,0.63754195
1.4276178,-9.0544405,-0.2318047,0.9432638,0.5428694,0.587476
0.97477615,-8.625827,-0.9098708,0.9571119,0.2818873,0.5384753
0.05742774,-9.025727,-0.86201435,0.9975907,0.24047635,0.55658424
-0.29252258,-9.457033,0.0026919255,0.9645685,0.29040915,0.68547744
0.4645067,-9.770792,0.5778667,0.934742,0.4310199,0.679086
2.1197417,-10.400702,2.0078773,0.71743447,0.5460651,0.5256925
2.400001,-11.030912,1.3540385,0.62688965,0.550326,0.2659088
-0.2542374,-10.736296,0.20877378,0.40012816,0.80278623,0.122102335
-2.1131616,-13.205988,-2.670689,0.2765611,1.0082431,0.19453818
